Provincia;Fallecidos;Año
La Vega;123;2022
María Trinidad Sánchez;42;2022
Monseñor Nouel;62;2022
Monte Plata;53;2022
Montecristi;37;2022
Pedernales;6;2022
Peravia;66;2022
Puerto Plata;74;2022
Samaná;49;2022
San Cristóbal;116;2022
San José de Ocoa;15;2022
San Juan;50;2022
San Pedro de Macorís;62;2022
Sánchez Ramírez;29;2022
Santiago;121;2022
Santiago Rodríguez;20;2022
Santo Domingo;238;2022
Valverde;28;2022
Azua;58;2023
Bahoruco;26;2023
Barahona;31;2023
Dajabón;21;2023
Distrito Nacional;91;2023
Duarte;50;2023
El Seibo;23;2023
Elías Piña;9;2023
Espaillat;59;2023
Hato Mayor;19;2023
Hermanas Mirabal;24;2023
Independencia;19;2023
La Altagracia;151;2023
La Romana;55;2023
La Vega;133;2023
María Trinidad Sánchez;53;2023
Monseñor Nouel;65;2023
Monte Plata;47;2023
Montecristi;38;2023
Pedernales;12;2023
Peravia;67;2023
Puerto Plata;96;2023
Samaná;36;2023
San Cristóbal;162;2023
San José de Ocoa;21;2023
San Juan;62;2023
San Pedro de Macorís;50;2023
Sánchez Ramírez;31;2023
Santiago;121;2023
Santiago Rodríguez;15;2023
Santo Domingo;259;2023
Valverde;48;2023
Azua;79;2024
Bahoruco;25;2024
Barahona;35;2024
Dajabón;26;2024
Distrito Nacional;107;2024
Duarte;81;2024
El Seibo;23;2024
Elías Piña;11;2024
Espaillat;65;2024
Hato Mayor;15;2024
Hermanas Mirabal;31;2024
Independencia;3;2024
La Altagracia;159;2024
La Romana;48;2024
La Vega;138;2024
María Trinidad Sánchez;51;2024
Monseñor Nouel;68;2024
Monte Plata;66;2024
Montecristi;33;2024
Pedernales;11;2024
Peravia;63;2024
Puerto Plata;85;2024
Samaná;52;2024
San Cristóbal;183;2024
San José de Ocoa;23;2024
San Juan;75;2024
San Pedro de Macorís;58;2024
Sánchez Ramírez;48;2024
Santiago;172;2024
Santiago Rodríguez;21;2024
Santo Domingo;263;2024
Valverde;46;2024
Azua;71;2025
Bahoruco;23;2025
Barahona;37;2025
Dajabón;20;2025
Distrito Nacional;105;2025
Duarte;74;2025
El Seibo;25;2025
Elías Piña;13;2025
Espaillat;89;2025
Hato Mayor;28;2025
Hermanas Mirabal;20;2025
Independencia;8;2025
La Altagracia;179;2025
La Romana;41;2025
La Vega;114;2025
María Trinidad Sánchez;51;2025
Monseñor Nouel;65;2025
Monte Plata;54;2025
Montecristi;41;2025
Pedernales;5;2025
Peravia;54;2025
Puerto Plata;122;2025
Samaná;36;2025
San Cristóbal;196;2025
San José de Ocoa;16;2025
San Juan;61;2025
San Pedro de Macorís;88;2025
Sánchez Ramírez;41;2025
Santiago;139;2025
Santiago Rodríguez;22;2025
Santo Domingo;299;2025
Valverde;35;2025
AZUA;2;2026
BAHORUCO;4;2026
BARAHONA;6;2026
DAJABON;3;2026
DISTRITO NACIONAL;7;2026
DUARTE;8;2026
EL SEIBO;6;2026
ELIAS PIÑA;2;2026
ESPAILLAT;6;2026
HERMANAS MIRABAL;1;2026
INDEPENDENCIA;3;2026
LA ALTAGRACIA;16;2026
LA ROMANA;3;2026
LA VEGA;11;2026
MARIA TRINIDAD SANCHEZ;4;2026
MONSEÑOR NOUEL;15;2026
MONTE PLATA;5;2026
MONTECRISTI;8;2026
PEDERNALES;1;2026
PERAVIA;4;2026
PUERTO PLATA;3;2026
SAMANA;2;2026
SAN CRISTOBAL;16;2026
SAN JOSE DE OCOA;1;2026
SAN JUAN;4;2026
SAN PEDRO DE MACORIS;9;2026
SANCHEZ RAMIREZ;3;2026
SANTIAGO;18;2026
SANTIAGO RODRIGUEZ;1;2026
SANTO DOMINGO;24;2026
VALVERDE;1;2026
